filename,year,doy,profile_idx,profile_num,date,index
RCA_sb_sp_temperature_2018_029_5261_1_V1.nc,2018,29,5261,1,2018-01-29,233
RCA_sb_sp_temperature_2018_029_5262_2_V1.nc,2018,29,5262,2,2018-01-29,234
RCA_sb_sp_temperature_2018_029_5263_3_V1.nc,2018,29,5263,3,2018-01-29,235
RCA_sb_sp_temperature_2018_029_5264_4_V1.nc,2018,29,5264,4,2018-01-29,236
RCA_sb_sp_temperature_2018_029_5265_5_V1.nc,2018,29,5265,5,2018-01-29,237
RCA_sb_sp_temperature_2018_029_5266_6_V1.nc,2018,29,5266,6,2018-01-29,238
RCA_sb_sp_temperature_2018_029_5267_7_V1.nc,2018,29,5267,7,2018-01-29,239
RCA_sb_sp_temperature_2018_029_5268_8_V1.nc,2018,29,5268,8,2018-01-29,240
RCA_sb_sp_temperature_2018_029_5269_9_V1.nc,2018,29,5269,9,2018-01-29,241
RCA_sb_sp_temperature_2018_030_5270_1_V1.nc,2018,30,5270,1,2018-01-30,242
RCA_sb_sp_temperature_2018_030_5271_2_V1.nc,2018,30,5271,2,2018-01-30,243
RCA_sb_sp_temperature_2018_030_5272_3_V1.nc,2018,30,5272,3,2018-01-30,244
RCA_sb_sp_temperature_2018_030_5273_4_V1.nc,2018,30,5273,4,2018-01-30,245
RCA_sb_sp_temperature_2018_030_5274_5_V1.nc,2018,30,5274,5,2018-01-30,246
RCA_sb_sp_temperature_2018_030_5275_6_V1.nc,2018,30,5275,6,2018-01-30,247
RCA_sb_sp_temperature_2018_030_5276_7_V1.nc,2018,30,5276,7,2018-01-30,248
RCA_sb_sp_temperature_2018_030_5277_8_V1.nc,2018,30,5277,8,2018-01-30,249
RCA_sb_sp_temperature_2018_030_5278_9_V1.nc,2018,30,5278,9,2018-01-30,250
RCA_sb_sp_temperature_2018_031_5279_1_V1.nc,2018,31,5279,1,2018-01-31,251
RCA_sb_sp_temperature_2018_031_5280_2_V1.nc,2018,31,5280,2,2018-01-31,252
RCA_sb_sp_temperature_2018_031_5281_3_V1.nc,2018,31,5281,3,2018-01-31,253
RCA_sb_sp_temperature_2018_031_5282_4_V1.nc,2018,31,5282,4,2018-01-31,254
RCA_sb_sp_temperature_2018_031_5283_5_V1.nc,2018,31,5283,5,2018-01-31,255
RCA_sb_sp_temperature_2018_031_5284_6_V1.nc,2018,31,5284,6,2018-01-31,256
RCA_sb_sp_temperature_2018_031_5285_7_V1.nc,2018,31,5285,7,2018-01-31,257
RCA_sb_sp_temperature_2018_031_5286_8_V1.nc,2018,31,5286,8,2018-01-31,258
RCA_sb_sp_temperature_2018_031_5287_9_V1.nc,2018,31,5287,9,2018-01-31,259
RCA_sb_sp_temperature_2018_032_5288_1_V1.nc,2018,32,5288,1,2018-02-01,260
RCA_sb_sp_temperature_2018_032_5289_2_V1.nc,2018,32,5289,2,2018-02-01,261
RCA_sb_sp_temperature_2018_032_5290_3_V1.nc,2018,32,5290,3,2018-02-01,262
RCA_sb_sp_temperature_2018_032_5291_4_V1.nc,2018,32,5291,4,2018-02-01,263
RCA_sb_sp_temperature_2018_032_5292_5_V1.nc,2018,32,5292,5,2018-02-01,264
RCA_sb_sp_temperature_2018_032_5293_6_V1.nc,2018,32,5293,6,2018-02-01,265
RCA_sb_sp_temperature_2018_032_5294_7_V1.nc,2018,32,5294,7,2018-02-01,266
RCA_sb_sp_temperature_2018_032_5295_8_V1.nc,2018,32,5295,8,2018-02-01,267
RCA_sb_sp_temperature_2018_032_5296_9_V1.nc,2018,32,5296,9,2018-02-01,268
RCA_sb_sp_temperature_2018_033_5297_1_V1.nc,2018,33,5297,1,2018-02-02,269
RCA_sb_sp_temperature_2018_033_5298_2_V1.nc,2018,33,5298,2,2018-02-02,270
RCA_sb_sp_temperature_2018_033_5299_3_V1.nc,2018,33,5299,3,2018-02-02,271
