#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 07 02 50 195  6.4  8.4  3.52 14.81  8.40 277 1002.5   9.9  11.5 999.0 99.0 99.00
2016 01 07 03 50 192  5.0  6.4  3.95 14.81  8.72 283 1003.1   9.7  11.2 999.0 99.0 99.00
2016 01 07 04 50 162  4.8  5.8  3.55 13.79  8.63 265 1003.7   9.5  11.2 999.0 99.0 99.00
2016 01 07 05 50 200  9.1 11.1  4.31 13.79  9.72 265 1004.0  10.8  11.2 999.0 99.0 99.00
2016 01 07 06 50 181 10.0 12.4  4.25 12.90  8.77 267 1004.6  10.1  11.2 999.0 99.0 99.00
2016 01 07 07 50 191  8.6 10.1  3.98 14.81  8.33 261 1005.2  10.7  11.2 999.0 99.0 99.00
2016 01 07 08 50 202  8.3 10.7  4.60 13.79  9.26 271 1005.7  11.0  11.2 999.0 99.0 99.00
2016 01 07 09 50 198  7.9  9.6  4.69 13.79  9.51 273 1006.0  11.1  11.3 999.0 99.0 99.00
2016 01 07 10 50 215  7.6 10.4  5.17 17.39 10.39 275 1006.9  10.4  11.3 999.0 99.0 99.00
2016 01 07 11 50 204  7.6  9.3  4.83 16.00 10.31 274 1007.4  10.8  11.3 999.0 99.0 99.00
2016 01 07 12 50 176  9.2 12.2  5.63 16.00 10.68 263 1007.6  10.3  11.3 999.0 99.0 99.00
2016 01 07 13 50 173  9.4 11.8  5.57 16.00 10.47 272 1008.1  10.2  11.3 999.0 99.0 99.00
2016 01 07 14 50 169 10.5 12.4  4.80 17.39  9.50 266 1008.9  10.2  11.3 999.0 99.0 99.00
2016 01 07 15 50 165  9.8 11.6  5.30 17.39 10.40 257 1009.5   9.9  11.3 999.0 99.0 99.00
2016 01 07 16 50 161 11.4 13.6  5.19 16.00  9.88 255 1009.9   9.9  11.3 999.0 99.0 99.00
2016 01 07 17 50 159  9.9 12.2  5.07 14.81  9.98 243 1010.6  10.2  11.3 999.0 99.0 99.00
2016 01 07 18 50 171 11.7 14.5  5.64 16.00 10.35 257 1011.1  10.5  11.3 999.0 99.0 99.00
2016 01 07 19 50 208 10.2 12.5  5.25 16.00  9.74 286 1011.6   9.3  11.3 999.0 99.0 99.00
2016 01 07 20 50 176  8.7 10.4  5.33 16.00 10.24 274 1011.5   9.7  11.3 999.0 99.0 99.00
2016 01 07 21 50 184  8.5 10.6  5.08 16.00  9.94 270 1011.6  10.1  11.3 999.0 99.0 99.00
