year,doy,profile_idx,profile_num,date,index
2016,61,1166,5,2016-03-01,506
2016,61,1167,6,2016-03-01,507
2016,61,1168,7,2016-03-01,508
2016,61,1169,8,2016-03-01,509
2016,61,1170,9,2016-03-01,510
2016,62,1171,1,2016-03-02,511
2016,62,1172,2,2016-03-02,512
2016,62,1173,3,2016-03-02,513
2016,62,1174,4,2016-03-02,514
2016,62,1175,5,2016-03-02,515
2016,62,1176,6,2016-03-02,516
2016,62,1177,7,2016-03-02,517
2016,62,1178,8,2016-03-02,518
2016,62,1179,9,2016-03-02,519
2016,63,1180,1,2016-03-03,520
2016,63,1181,2,2016-03-03,521
2016,63,1182,3,2016-03-03,522
2016,63,1183,4,2016-03-03,523
2016,63,1184,5,2016-03-03,524
2016,63,1185,6,2016-03-03,525
2016,63,1186,7,2016-03-03,526
2016,63,1187,8,2016-03-03,527
2016,63,1188,9,2016-03-03,528
2016,64,1189,1,2016-03-04,529
2016,64,1190,2,2016-03-04,530
2016,64,1191,3,2016-03-04,531
2016,64,1192,4,2016-03-04,532
2016,64,1193,5,2016-03-04,533
2016,64,1194,6,2016-03-04,534
2016,64,1195,7,2016-03-04,535
2016,64,1196,8,2016-03-04,536
2016,64,1197,9,2016-03-04,537
2016,65,1198,1,2016-03-05,538
2016,65,1199,2,2016-03-05,539
2016,65,1200,3,2016-03-05,540
2016,65,1201,4,2016-03-05,541
2016,65,1202,5,2016-03-05,542
2016,65,1203,6,2016-03-05,543
2016,65,1204,7,2016-03-05,544
2016,65,1205,8,2016-03-05,545
2016,65,1206,9,2016-03-05,546
2016,66,1207,1,2016-03-06,547
2016,66,1208,2,2016-03-06,548
2016,66,1209,3,2016-03-06,549
2016,66,1210,4,2016-03-06,550
2016,66,1211,5,2016-03-06,551
2016,66,1212,6,2016-03-06,552
2016,66,1213,7,2016-03-06,553
2016,66,1214,8,2016-03-06,554
2016,66,1215,9,2016-03-06,555
2016,67,1216,1,2016-03-07,556
2016,67,1217,2,2016-03-07,557
2016,67,1218,3,2016-03-07,558
2016,67,1219,4,2016-03-07,559
2016,67,1220,5,2016-03-07,560
2016,67,1221,6,2016-03-07,561
2016,67,1222,7,2016-03-07,562
2016,67,1223,8,2016-03-07,563
2016,67,1224,9,2016-03-07,564
2016,68,1225,1,2016-03-08,565
2016,68,1226,2,2016-03-08,566
2016,68,1227,3,2016-03-08,567
2016,68,1228,4,2016-03-08,568
2016,68,1229,5,2016-03-08,569
2016,68,1230,6,2016-03-08,570
2016,68,1231,7,2016-03-08,571
2016,68,1232,8,2016-03-08,572
2016,68,1233,9,2016-03-08,573
2016,69,1234,1,2016-03-09,574
2016,69,1235,2,2016-03-09,575
2016,69,1236,3,2016-03-09,576
2016,69,1237,4,2016-03-09,577
2016,69,1238,5,2016-03-09,578
2016,69,1239,6,2016-03-09,579
2016,69,1240,7,2016-03-09,580
2016,69,1241,8,2016-03-09,581
2016,69,1242,9,2016-03-09,582
2016,70,1243,1,2016-03-10,583
2016,70,1244,2,2016-03-10,584
2016,70,1245,3,2016-03-10,585
2016,70,1246,4,2016-03-10,586
2016,70,1247,5,2016-03-10,587
2016,70,1248,6,2016-03-10,588
2016,70,1249,7,2016-03-10,589
2016,70,1250,8,2016-03-10,590
2016,71,1251,1,2016-03-11,591
2016,71,1252,2,2016-03-11,592
2016,71,1253,3,2016-03-11,593
2016,72,1254,1,2016-03-12,594
2016,72,1255,2,2016-03-12,595
2016,72,1256,3,2016-03-12,596
2016,72,1257,4,2016-03-12,597
2016,72,1258,5,2016-03-12,598
2016,72,1259,6,2016-03-12,599
2016,72,1260,7,2016-03-12,600
2016,72,1261,8,2016-03-12,601
2016,72,1262,9,2016-03-12,602
2016,73,1263,1,2016-03-13,603
2016,73,1264,2,2016-03-13,604
2016,73,1265,3,2016-03-13,605
2016,73,1266,4,2016-03-13,606
2016,73,1267,5,2016-03-13,607
2016,73,1268,6,2016-03-13,608
2016,73,1269,7,2016-03-13,609
2016,73,1270,8,2016-03-13,610
2016,73,1271,9,2016-03-13,611
2016,74,1272,1,2016-03-14,612
2016,74,1273,2,2016-03-14,613
2016,74,1274,3,2016-03-14,614
2016,74,1275,4,2016-03-14,615
2016,74,1276,5,2016-03-14,616
2016,74,1277,6,2016-03-14,617
2016,74,1278,7,2016-03-14,618
2016,74,1279,8,2016-03-14,619
2016,74,1280,9,2016-03-14,620
2016,75,1281,1,2016-03-15,621
2016,75,1282,2,2016-03-15,622
2016,75,1283,3,2016-03-15,623
2016,75,1284,4,2016-03-15,624
2016,75,1285,5,2016-03-15,625
2016,75,1286,6,2016-03-15,626
2016,75,1287,7,2016-03-15,627
2016,75,1288,8,2016-03-15,628
2016,75,1289,9,2016-03-15,629
2016,76,1290,1,2016-03-16,630
2016,76,1291,2,2016-03-16,631
2016,76,1292,3,2016-03-16,632
2016,76,1293,4,2016-03-16,633
2016,76,1294,5,2016-03-16,634
2016,76,1295,6,2016-03-16,635
2016,76,1296,7,2016-03-16,636
2016,76,1297,8,2016-03-16,637
2016,76,1298,9,2016-03-16,638
2016,77,1299,1,2016-03-17,639
2016,77,1300,2,2016-03-17,640
2016,77,1301,3,2016-03-17,641
2016,77,1302,4,2016-03-17,642
2016,77,1303,5,2016-03-17,643
2016,77,1304,6,2016-03-17,644
2016,77,1305,7,2016-03-17,645
2016,77,1306,8,2016-03-17,646
2016,77,1307,9,2016-03-17,647
2016,78,1308,1,2016-03-18,648
2016,78,1309,2,2016-03-18,649
2016,78,1310,3,2016-03-18,650
2016,78,1311,4,2016-03-18,651
2016,78,1312,5,2016-03-18,652
2016,78,1313,6,2016-03-18,653
2016,78,1314,7,2016-03-18,654
2016,78,1315,8,2016-03-18,655
2016,78,1316,9,2016-03-18,656
2016,79,1317,1,2016-03-19,657
2016,79,1318,2,2016-03-19,658
2016,79,1319,3,2016-03-19,659
2016,79,1320,4,2016-03-19,660
2016,79,1321,5,2016-03-19,661
2016,79,1322,6,2016-03-19,662
2016,79,1323,7,2016-03-19,663
2016,79,1324,8,2016-03-19,664
2016,79,1325,9,2016-03-19,665
2016,80,1326,1,2016-03-20,666
2016,80,1327,2,2016-03-20,667
2016,80,1328,3,2016-03-20,668
2016,80,1329,4,2016-03-20,669
2016,80,1330,5,2016-03-20,670
2016,80,1331,6,2016-03-20,671
2016,80,1332,7,2016-03-20,672
2016,80,1333,8,2016-03-20,673
2016,80,1334,9,2016-03-20,674
2016,81,1335,1,2016-03-21,675
2016,81,1336,2,2016-03-21,676
2016,81,1337,3,2016-03-21,677
2016,81,1338,4,2016-03-21,678
2016,81,1339,5,2016-03-21,679
2016,81,1340,6,2016-03-21,680
2016,81,1341,7,2016-03-21,681
2016,81,1342,8,2016-03-21,682
2016,81,1343,9,2016-03-21,683
2016,82,1344,1,2016-03-22,684
2016,82,1345,2,2016-03-22,685
2016,82,1346,3,2016-03-22,686
2016,82,1347,4,2016-03-22,687
2016,82,1348,5,2016-03-22,688
2016,82,1349,6,2016-03-22,689
2016,82,1350,7,2016-03-22,690
2016,82,1351,8,2016-03-22,691
2016,82,1352,9,2016-03-22,692
2016,83,1353,1,2016-03-23,693
2016,83,1354,2,2016-03-23,694
2016,83,1355,3,2016-03-23,695
2016,83,1356,4,2016-03-23,696
2016,83,1357,5,2016-03-23,697
2016,83,1358,6,2016-03-23,698
2016,83,1359,7,2016-03-23,699
2016,83,1360,8,2016-03-23,700
2016,83,1361,9,2016-03-23,701
2016,84,1362,1,2016-03-24,702
2016,84,1363,2,2016-03-24,703
2016,84,1364,3,2016-03-24,704
2016,84,1365,4,2016-03-24,705
2016,84,1366,5,2016-03-24,706
2016,84,1367,6,2016-03-24,707
2016,84,1368,7,2016-03-24,708
2016,84,1369,8,2016-03-24,709
2016,84,1370,9,2016-03-24,710
2016,85,1371,1,2016-03-25,711
2016,85,1372,2,2016-03-25,712
2016,85,1373,3,2016-03-25,713
2016,85,1374,4,2016-03-25,714
2016,88,1375,1,2016-03-28,715
2016,88,1376,2,2016-03-28,716
2016,88,1377,3,2016-03-28,717
2016,88,1378,4,2016-03-28,718
2016,89,1379,1,2016-03-29,719
2016,89,1380,2,2016-03-29,720
2016,89,1381,3,2016-03-29,721
2016,89,1382,4,2016-03-29,722
2016,89,1383,5,2016-03-29,723
2016,89,1384,6,2016-03-29,724
2016,89,1385,7,2016-03-29,725
2016,89,1386,8,2016-03-29,726
2016,89,1387,9,2016-03-29,727
2016,90,1388,1,2016-03-30,728
2016,90,1389,2,2016-03-30,729
2016,90,1390,3,2016-03-30,730
2016,90,1391,4,2016-03-30,731
2016,90,1392,5,2016-03-30,732
2016,90,1393,6,2016-03-30,733
2016,90,1394,7,2016-03-30,734
2016,90,1395,8,2016-03-30,735
2016,90,1396,9,2016-03-30,736
2016,91,1397,1,2016-03-31,737
2016,91,1398,2,2016-03-31,738
2016,91,1399,3,2016-03-31,739
2016,91,1400,4,2016-03-31,740
2016,91,1401,5,2016-03-31,741
2016,91,1402,6,2016-03-31,742
2016,91,1403,7,2016-03-31,743
2016,91,1404,8,2016-03-31,744
2016,91,1405,9,2016-03-31,745
2016,92,1406,1,2016-04-01,746
2016,92,1407,2,2016-04-01,747
2016,92,1408,3,2016-04-01,748
