year,doy,profile_idx,profile_num,date,index,cluster,month
2016,48,1052,8,2016-02-17,392,0,2
2016,48,1053,9,2016-02-17,393,0,2
2016,49,1054,1,2016-02-18,394,0,2
2016,49,1055,2,2016-02-18,395,0,2
2016,49,1056,3,2016-02-18,396,0,2
2016,49,1057,4,2016-02-18,397,0,2
2016,49,1058,5,2016-02-18,398,0,2
2016,49,1059,6,2016-02-18,399,0,2
2016,49,1060,7,2016-02-18,400,0,2
2016,49,1061,8,2016-02-18,401,0,2
2016,49,1062,9,2016-02-18,402,0,2
2016,50,1063,1,2016-02-19,403,0,2
2016,50,1064,2,2016-02-19,404,0,2
2016,50,1065,3,2016-02-19,405,0,2
2016,50,1066,4,2016-02-19,406,0,2
2016,50,1067,5,2016-02-19,407,0,2
2016,50,1068,6,2016-02-19,408,0,2
2016,50,1069,7,2016-02-19,409,0,2
2016,50,1070,8,2016-02-19,410,0,2
2016,50,1071,9,2016-02-19,411,0,2
2016,51,1072,1,2016-02-20,412,0,2
2016,51,1073,2,2016-02-20,413,0,2
2016,51,1074,3,2016-02-20,414,0,2
2016,51,1075,4,2016-02-20,415,0,2
2016,51,1076,5,2016-02-20,416,0,2
2016,51,1077,6,2016-02-20,417,0,2
2016,51,1078,7,2016-02-20,418,0,2
2016,51,1079,8,2016-02-20,419,0,2
2016,51,1080,9,2016-02-20,420,0,2
2016,52,1081,1,2016-02-21,421,0,2
2016,52,1082,2,2016-02-21,422,0,2
2016,52,1083,3,2016-02-21,423,0,2
2016,52,1084,4,2016-02-21,424,0,2
2016,52,1085,5,2016-02-21,425,0,2
2016,52,1086,6,2016-02-21,426,0,2
2016,52,1087,7,2016-02-21,427,0,2
2016,52,1088,8,2016-02-21,428,0,2
2016,52,1089,9,2016-02-21,429,0,2
2016,53,1090,1,2016-02-22,430,0,2
2016,53,1091,2,2016-02-22,431,0,2
2016,53,1092,3,2016-02-22,432,0,2
2016,53,1093,4,2016-02-22,433,0,2
2016,53,1094,5,2016-02-22,434,0,2
2016,53,1095,6,2016-02-22,435,0,2
2016,53,1096,7,2016-02-22,436,0,2
2016,53,1097,8,2016-02-22,437,0,2
2016,53,1098,9,2016-02-22,438,0,2
2016,54,1099,1,2016-02-23,439,0,2
2016,54,1100,2,2016-02-23,440,0,2
2016,54,1101,3,2016-02-23,441,0,2
2016,54,1102,4,2016-02-23,442,0,2
2016,54,1103,5,2016-02-23,443,0,2
2016,54,1104,6,2016-02-23,444,0,2
2016,54,1105,7,2016-02-23,445,0,2
2016,54,1106,8,2016-02-23,446,0,2
2016,54,1107,9,2016-02-23,447,0,2
2016,55,1108,1,2016-02-24,448,0,2
2016,55,1109,2,2016-02-24,449,0,2
2016,55,1110,3,2016-02-24,450,0,2
2016,55,1111,4,2016-02-24,451,0,2
2016,55,1112,5,2016-02-24,452,0,2
2016,55,1113,6,2016-02-24,453,0,2
2016,55,1114,7,2016-02-24,454,0,2
2016,55,1115,8,2016-02-24,455,0,2
2016,55,1116,9,2016-02-24,456,0,2
2016,56,1117,1,2016-02-25,457,0,2
2016,56,1118,2,2016-02-25,458,0,2
2016,56,1119,3,2016-02-25,459,0,2
2016,56,1120,4,2016-02-25,460,0,2
2016,56,1121,5,2016-02-25,461,0,2
2016,56,1122,6,2016-02-25,462,0,2
2016,56,1123,7,2016-02-25,463,0,2
2016,56,1124,8,2016-02-25,464,0,2
2016,56,1125,9,2016-02-25,465,0,2
2016,57,1126,1,2016-02-26,466,0,2
2016,57,1127,2,2016-02-26,467,0,2
2016,57,1128,3,2016-02-26,468,0,2
2016,57,1129,4,2016-02-26,469,0,2
2016,57,1130,5,2016-02-26,470,0,2
2016,57,1131,6,2016-02-26,471,0,2
2016,57,1132,7,2016-02-26,472,0,2
2016,57,1133,8,2016-02-26,473,0,2
2016,57,1134,9,2016-02-26,474,0,2
2016,58,1135,1,2016-02-27,475,0,2
2016,58,1136,2,2016-02-27,476,0,2
2016,58,1137,3,2016-02-27,477,0,2
2016,58,1138,4,2016-02-27,478,0,2
2016,58,1139,5,2016-02-27,479,0,2
2016,58,1140,6,2016-02-27,480,0,2
2016,58,1141,7,2016-02-27,481,0,2
2016,58,1142,8,2016-02-27,482,0,2
2016,58,1143,9,2016-02-27,483,0,2
2016,59,1144,1,2016-02-28,484,0,2
2016,59,1145,2,2016-02-28,485,0,2
2016,59,1146,3,2016-02-28,486,0,2
2016,59,1147,4,2016-02-28,487,0,2
2016,59,1148,5,2016-02-28,488,0,2
2016,59,1149,6,2016-02-28,489,0,2
2016,59,1150,7,2016-02-28,490,0,2
2016,59,1151,8,2016-02-28,491,0,2
2016,59,1152,9,2016-02-28,492,0,2
2016,60,1153,1,2016-02-29,493,0,2
2016,60,1154,2,2016-02-29,494,0,2
2016,60,1155,3,2016-02-29,495,0,2
2016,60,1156,4,2016-02-29,496,0,2
